μῆνιν|μῆνις
ἄειδε|ἀείδω
θεὰ|θεά
Πηληϊάδεω|Πηληιάδης
Ἀχιλῆος|Ἀχιλλεύς
οὐλομένην|οὐλόμενος
μυρί̓|μυρίος
Ἀχαιοῖς|Ἀχαιός
ἄλγἐ|ἄλγος
ἔθηκε|τίθημι
πολλὰς|πολύς
δ̓|δέ
ἰφθίμους|ἴφθιμος
ψυχὰς|ψυχή
Ἄϊδι|Ἅιδης
προΐαψεν|προιάπτω
ἡρώων|ἥρως
αὐτοὺς|αὐτός
ἑλώρια|ἑλώριον
τεῦχε|τεύχω
κύνεσσιν|κύων
οἰωνοῖσί|οἰωνός
πᾶσι|πᾶς
Διὸς|Ζεύς
ἐτελείετο|τελέω
βουλή|βουλή
ἐξ|ἐκ
οὗ|ὅς
πρῶτα|πρῶτος
διαστήτην|διίστημι
ἐρίσαντε|ἐρίζω
Ἀτρεΐδης|Ἀτρείδης
ἄναξ|ἄναξ
ἀνδρῶν|ἀνήρ
δῖος|δῖος
Ἀχιλλεύς|Ἀχιλλεύς
τ̓|τε
σφωε|σφεῖς
θεῶν|θεός
ἔριδι|ἔρις
ξυνέηκε|συνίημι
μάχεσθαι|μάχομαι
Λητοῦς|Λητώ
υἱός|υἱός
βασιλῆϊ|βασιλεύς
χολωθεὶς|χολόω
νοῦσον|νόσος
ἀνὰ|ἀνά
στρατὸν|στρατός
ὄρσε|ὄρνυμι
κακήν|κακός
ὀλέκοντο|ὀλέκω
λαοί|λαός
οὕνεκα|οὕνεκα
Χρύσην|Χρύσης
ἠτίμασεν|ἀτιμάζω
ἀρητῆρα|ἀρητήρ
ἦλθε|ἔρχομαι
θοὰς|θοός
ἐπὶ|ἐπί
νῆας|ναῦς
Ἀχαιῶν|Ἀχαιός
λυσόμενός|λύω
θύγατρα|θυγάτηρ
φέρων|φέρω
ἀπερείσἰ|ἀπερείσιος
ἄποινα|ἄποινα
στέμματ̓|στέμμα
ἔχων|ἔχω
χερσὶν|χείρ
ἑκηβόλου|ἑκηβόλος
Ἀπόλλωνος|Ἀπόλλων
χρυσέῳ|χρύσεος
σκήπτρῳ|σκῆπτρον
λίσσετο|λίσσομαι
πάντας|πᾶς
Ἀχαιούς|Ἀχαιός
Ἀτρεΐδα|Ἀτρείδης
μάλιστα|μάλιστα
δύω|δύο
κοσμήτορε|κοσμήτωρ
λαῶν|λαός
Ἀτρεΐδαι|Ἀτρείδης
ἄλλοι|ἄλλος
ἐϋκνήμιδες|ἐυκνήμις
Ἀχαιοί|Ἀχαιός
ὑμῖν|σύ
θεοὶ|θεός
δοῖεν|δίδωμι
